timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1212019200, 29267683.33125,312621.91944444,18905.475,190005.48333333
1212105600, 28046274.982639,309832.31319444,20172.808333333,183869.67291667
1212192000, 28718317.343056,323653.51111111,21910.802777778,171218.4
1212278400, 28742769.95625,305115.13194444,20622.535416667,147656.75625
1212364800, 27329153.304167,329596.28125,19558.6625,208179.96527778
1212451200, 28638088.582639,346473.66041667,19378.984722222,181165.5625
1212537600, 26001970.144444,272758.02152778,19311.941666667,119050.55347222
1212624000, 25679004.436806,274109.63888889,18949.422222222,124249.86180556
1212710400, 27522968.744444,312866.96111111,19777.288194444,144460.03125
1212796800, 28071395.565278,306383.47847222,21264.617361111,107319.80069444
1212883200, 33213872.035417,433908.88541667,20978.622222222,145473.51597222
1212969600, 26827340.365972,277677.11041667,19412.19375,104562.625
1213056000, 29995635.414583,360176.41180556,18940.691666667,144203.30625
1213142400, 27601889.104861,313806.75416667,18098.21875,154282.775
1213228800, 26526497.616667,279781.51527778,17287.988888889,130401.71041667
1213315200, 35363455.698611,261014.91041667,18615.688194444,97354.049305555
1213401600, 44524795.586111,283273.77847222,20377.664583333,99566.886805556
1213488000, 43420771.306944,277228.76666667,19457.618055556,110337.46875
1213574400, 41656620.477083,240977.06944444,18550.527777778,109109.39097222
1213660800, 31285569.777778,277282.57847222,18290.284722222,131784.05763889
1213747200, 27856345.352083,312210.27569444,18426.176388889,149622.69861111
1213833600, 31341460.379861,356838.12152778,17434.571527778,176524.43541667
1213920000, 36108914.415278,360125.25763889,17967.73125,191057.71180556
1214006400, 31470853.490972,360148.50208333,18375.243055556,141202.77777778
1214092800, 28234937.04375,324744.93472222,18668.168055556,143349.90277778
1214179200, 30888782.027778,389951.6125,18723.021527778,187039.33819444
1214265600, 31080667.970833,363031.30625,18255.513888889,174237.30416667
1214352000, 38210754.386805,425245.17291667,17998.55,261565.28125
1214438400, 34558503.670139,348712.4625,17704.8375,185178.59930556
1214524800, 37306962.186805,375718.33680556,18184.140277778,226337.06527778
1214611200, 35315115.554861,341798.21597222,18935.129861111,190532.79375
1214697600, 31643804.567361,358039.52638889,18643.789583333,201292.29375
1214784000, 36006698.003472,408747.49791667,18008.144444444,242026.73263889
1214870400, 38149703.498611,302626.17013889,17798.71875,174916.12291667
1214956800, 27427981.345833,276980.75763889,17998.663194444,144181.07291667
1215043200, 29169246.278472,311997.21666667,17548.920138889,156001.80486111
1215129600, 28393013.811111,343906.93055556,18117.954861111,135299.60902778
1215216000, 26109673.902083,259594.64583333,18473.621527778,114953.35625
1215302400, 28744045.622222,309699.87708333,18424.438888889,166241.93611111
1215388800, 26107458.061111,266550.075,18240.838194444,131415.82916667
1215475200, 27238771.295833,292594.03680556,17691.034027778,165008.92222222
1215561600, 27930672.597917,299448.67777778,17771.043055556,158387.40277778
1215648000, 38737999.428472,402888.58611111,19168.126388889,192189.57916667
1215734400, 40307285.370139,394094.87152778,19981.770833333,212090.98541667
1215820800, 35108577.4625,398935.83958333,19213.488888889,220433.09166667
1215907200, 31587551.734722,375405.89375,19724.000694444,216763.1125
1215993600, 32824573.475,383854.19097222,19933.052777778,214916.22847222
1216080000, 30242995.865278,342638.37569444,19843.707638889,203535.75694444
1216166400, 33525494.001389,429046.81111111,19053.981944444,298526.51388889
1216252800, 39169106.145139,559622.55208333,18753.459722222,435132.99652778
1216339200, 27571412.365278,271127.34513889,18852.751388889,154516.16180556
1216425600, 27626718.924306,275737.97916667,19470.070833333,152651.85694444
1216512000, 32344467.120833,370504.60694444,19384.401388889,240653.76111111
1216598400, 33528254.098611,377126.18055556,21496.901388889,219445.45347222
1216684800, 36567720.014583,447262.54444444,23197.854861111,290445.08472222
1216771200, 33307828.325694,355995.46319444,22097.025,214554.26736111
1216857600, 31740838.064583,339286.66388889,21141.379166667,195950.05277778
1216944000, 33582333.095833,319146.90486111,20921.225694444,165085.56527778
1217030400, 28710393.6875,277723.94166667,21534.429166667,137834.77222222
1217116800, 27985092.69375,280515.76666667,21307.61875,141889.96944444
1217203200, 27123066.039583,278934.82638889,21660.2375,126650.11111111
1217289600, 28921968.493056,314359.31875,21810.061805556,161785.94722222
1217376000, 28957239.447222,310514.57986111,21374.642361111,151560.05416667
1217462400, 27692541.777778,295183.92986111,20568.238194444,146693.69097222
1217548800, 33866433.540972,345729.6375,24994.204166667,166146.10902778
1217635200, 32622877.341667,317467.57430556,25354.14375,144007.18055556
1217721600, 28780354.452083,270702.18263889,20029.163888889,131835.33194444
1217808000, 29462627.221528,316980.76527778,21021.306944444,184158.67013889
1217894400, 35621007.606944,453757.10069444,43259.480555556,253032.88333333
1217980800, 34390495.388889,404136.2125,25926.5375,182208.02291667
1218067200, 35002666.427778,384310.64583333,28396.909722222,144778.89097222
1218153600, 68346583.463194,696093.2125,66764.657638889,157661.72986111
1218240000, 58341775.532639,587185.41111111,59564.807638889,154352.34722222
1218326400, 69799572.580556,702068.95555555,73905.776388889,144769.92291667
1218412800, 40839266.084722,438869.29305556,37634.951388889,165848.58472222
1218499200, 51234592.705556,587197.27708333,44614.859027778,260892.12222222
1218585600, 48501897.599306,524047.83888889,44504.284027778,185670.46805556
1218672000, 44163723.606945,462082.70694444,39859.975694444,156846.44027778
1218758400, 39604934.9375,413130.88125,35668.927083333,145907.49305556
1218844800, 33223716.180556,330940.77083333,29536.229861111,139454.53263889
1218931200, 39996917.415972,485101.15555555,28756.010416667,230665.78680556
1219017600, 45971552.873611,548804.15555556,36568.990277778,205576.65763889
1219104000, 36049511.340278,409252.52222222,28850.454861111,192473.15416667
1219190400, 33431988.678472,347076.07569444,28223.020138889,149916.0125
